q	label	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14
47	q47	0.004207871165809503	0.021388568322264222	0.14081207955524053	0.004532844496886398	0.5095616468266936	0.001307118316571544	0.0015008265599444689	0.0038463545020948156	0.004655028192470979	0.2830760560815472	0.004502018491501492	0.0069594314622746034	0.0018006100244995914	0.004819695569265727	0.007029850432935336
48	q48	0.00210003801691544	0.03344384814454701	0.0019674859209538546	0.025031598947485145	0.026615086136203427	6.523484320791166E-4	7.490231303394642E-4	0.0019196145420433844	0.002323202348359347	0.8926652111669906	0.002246839224030903	0.003473269515865146	8.986371863789547E-4	0.0024053835126080355	0.003508413775200173
49	q49	0.0023104698359248618	0.13699886336687886	0.05226654255473958	0.002488907114383872	0.004231065758959665	7.177162330830164E-4	8.240781048341529E-4	0.002111967240720931	0.027606949604724245	0.7566550883414852	0.002471981083904947	0.0038213043686851017	9.886840599288857E-4	0.002646412114898221	0.0038599702168485403
50	q50	0.00579388772832863	0.09226971121093734	0.005428183890602824	0.006241348907810412	0.3247072821427812	0.0017997929298295208	0.0020665130288843063	0.005296109426915288	0.006409585668527196	0.012855508846124438	0.0061989040687753655	0.13522142899123926	0.0024792898625846365	0.006636318915832693	0.38659613438082685
51	q51	0.0031893205712217117	0.25826969332077904	0.0029880141553360693	0.0034356313752034193	0.10957978559099599	9.907193380670743E-4	0.0011375388724730524	0.0029153120555159124	0.0035282394799767106	0.007076481412644628	0.003412267063600558	0.005274842563382045	0.0013647572289157296	0.07281259281702725	0.5240248041548607
52	q52	0.002641306005850502	0.09933973128175376	0.002474589668178837	0.0028452937177579117	0.233940907982012	8.20486018671494E-4	9.42077846567971E-4	0.031052379315518974	0.002921989157387057	0.4640685356416764	0.0028259440490177885	0.004368476931511414	0.0011302537279537755	0.14621534931376723	0.004412679342374965
53	q53	0.005451431853441319	0.14592238533664786	0.0051073434548766315	0.005872445211204307	0.24640859695119516	0.001693413639912116	0.0019443688727570783	0.00498307543793663	0.006030738101797792	0.24852128613485777	0.0058325091340175675	0.009016166336924163	0.002332747951729283	0.3017760952141018	0.009107396368600435
54	q54	0.0377475847604609	0.408561571034736	0.0010548186107736917	0.001212834921765952	0.00206178216900825	3.497403765575554E-4	0.03702327175236489	0.0010291535623683226	0.025659994881994528	0.0024981154388179654	0.03782628857414531	0.0018621070100421897	4.8178196267156933E-4	0.4407500062142599	0.0018809487300329845
55	q55	0.002008570237895642	0.09732013654387317	0.0018817914878089248	0.2199401756166145	0.003678209784818023	6.239352025334122E-4	0.21849288297172773	0.0018360051610128863	0.0022220145806587754	0.004456626305525317	0.00214897747487146	0.4388749577636082	8.594967770527397E-4	0.0023006163199110873	0.0033556037720882405
56	q56	0.005451431853441319	0.26413519543750874	0.0051073434548766315	0.005872445211204307	0.42372781210248645	0.001693413639912116	0.0019443688727570783	0.18230229058922792	0.006030738101797792	0.012095665933136015	0.0058325091340175675	0.0681225713873546	0.002332747951729283	0.006244069961949652	0.009107396368600435
